,username,content,content_en,posted_time,pred_label
0,igordosus,"Gente, MILAGRE!!!!

Tá rodando um BRT amarelo novo com ar condicionado, sai até voz automática igual aquela do metrô ""porta de fechando"". Parece q adicionaram uma nova linha (38) q vai só até o Fundão tbm.

CARALHO, EU TO CHOCADO","People, MIRACLE!!!! A new yellow BRT with air conditioning is running, it even comes out with an automatic voice like the one on the subway ""closing door"". It seems that they added a new line (38) that goes only to Fundão too. FUCK, I'M SHOCKED",2023-03-01 13:09:04,surprise
1,diesonnenlicht,Um minuto de silêncio para apreciarmos a superioridade do BRT amarelo.,A minute of silence to appreciate the superiority of the yellow BRT.,2023-04-19 13:58:23,joy
2,naoculpeopedro,"ele chegou

o BRT amarelo chegou na zona oeste",he arrived the yellow BRT arrived in the west zone,2023-05-02 09:14:31,joy
3,naoculpeopedro,como é bonito o BRT amarelo parabéns a todos ,how beautiful is the yellow BRT congratulations to all,2023-03-31 20:50:18,joy
4,zwnetti,"EU VI UM BRT AMARELO NA ESTAÇAO DE OLARIA, EU NAO TO MALUCO","I SAW A YELLOW BRT AT THE STATION OF OLARIA, I'M NOT CRAZY",2023-03-01 12:39:00,fear
5,zwnetti,"eu peguei um BRT amarelo 

eu to chorando de emoção ",I took a yellow BRT I'm crying with emotion,2023-03-02 13:40:18,sadness
6,davidcstaneda,peguei o brt amarelo!!!!!!!!!!!!!!!,I got the yellow brt!!!!!!!!!!!!!!!,2023-04-30 16:45:08,joy
7,O_RaphaelCabral,BRT AMARELO MT FEIO,BRT YELLOW MT FEIO,2022-10-20 21:54:47,joy
8,mvcarvalhom,"amando esse BRT amarelo, tudo funcionando, aff amo demais, 
@eduardopaes","loving this yellow BRT, everything working, aff I love it so much, @eduardopaes",2023-01-10 21:11:53,love
9,obitarzinho,Já quero esse rolê da História 2020 no brt amarelo,I already want this tour of História 2020 on the yellow brt,2023-03-01 23:18:33,joy
10,zwnetti,"eu só tenho amigo FUDIDO

todo mundo mandando a foto do BRT amarelo na transcarioca e dizendo que ta ansioso pra andar","I only have a FUCKING friend, everyone sending a photo of the yellow BRT on Transcarioca and saying they're looking forward to riding",2023-03-01 13:16:10,joy
11,lucasmeio_,eu te amo brt amarelo com ar e Led eu te amo,I love you brt yellow with air and Led I love you,2023-04-24 13:24:58,love
12,violenceboyln,peguei um brt amarelo e ele tava com ar condicionado e vazio de novo meio que o eduardo paes ta sendo um pai para mim,"I took a yellow brt and it had air conditioning and it was empty again, like eduardo paes is being a father to me",2023-03-03 11:36:49,sadness
13,BECCARDlGAN,"já peguei o brt amarelo na barra e tenho algo a dizer, se funcionar direitinho e ngm começar a zoar o bagulho depredando, eu irei parar de falar mal do brt nesta rede","I already got the yellow brt on the bar and I have something to say, if it works properly and no one starts making fun of the stuff, I will stop talking bad about brt on this network",2023-03-01 13:20:25,joy
14,Larissa98602783,"Esse BRT amarelo e mt bommm ,o sufoco que eu passava c o azul não tava no gibi kkkkkkkkkkkkkk","This yellow BRT is very good, the suffocation I went through with the blue one was not in the comic kkkkkkkkkkkkkk",2023-03-07 08:06:30,sadness
15,OGgusta7,Hj os homens só querem saber de uma coisa: BRT amarelo,Today men only want to know one thing: yellow BRT,2023-03-01 14:17:09,joy
16,ThanksButNo_,mds brt amarelo vc é muito FEIO,mds brt yellow you are very UGLY,2022-12-16 09:03:37,sadness
17,nocavalcante,"08:47: Se eu for a primeira pessoa do grupo a pegar o brt amarelo vou saber que Deus é justo

09:38:",08:47: If I'm the first person in the group to get the yellow brt I'll know that God is fair 09:38:,2022-12-16 09:48:36,joy
18,aleixacs2,esse novo brt amarelo é ridículo,this new yellow brt is ridiculous,2022-10-11 07:14:12,anger
19,vitorinhabxd,esse brt amarelo é muito lindinho,this yellow brt is very cute,2023-04-21 21:34:24,joy
20,limabrunas,brt amarelo gostoso demais,too hot yellow brt,2023-04-28 17:08:47,love
21,thallespqd,"Os BRT amarelo ficou aulas, mas os vândalos já começaram a destruir","The yellow BRT remained open, but vandals have already started to destroy",2022-12-27 12:36:48,fear
22,Biel_03FFC,Diferença sinistra do brt amarelo pro azul,Sinister difference between yellow and blue brt,2023-01-03 11:00:09,anger
23,Guilhermetsneto,Te amo brt amarelo,I love you brt love it,2023-05-02 11:52:01,love
24,jvchagas21,"esse brt amarelo tá pica, saí da taquara pra alvorada em 20 minutos outro dia e hoje saí de casa pra taquara em 15 minutos. não dou 2 meses pra quebrarem tudo.","this yellow brt is cool, i left taquara for dawn in 20 minutes the other day and today i left home for taquara in 15 minutes. I don't give them 2 months to break everything.",2023-03-10 07:20:33,joy
